Time,Displacement,Force,Flexure displacement
(s),(mm),(N),(mm)
"0.0000","0.0000","14.1011","0.0000"
"0.1000","0.0072","15.0251","0.0072"
"0.2000","0.0178","16.2018","0.0178"
"0.3000","0.0280","17.5367","0.0280"
"0.4000","0.0380","18.8109","0.0380"
"0.5000","0.0480","20.0931","0.0480"
"0.6000","0.0580","20.8594","0.0580"
"0.7000","0.0680","21.9314","0.0680"
"0.8000","0.0779","22.9248","0.0779"
"0.9000","0.0881","23.9581","0.0881"
"1.0000","0.0980","24.9673","0.0980"
"1.1000","0.1080","25.9540","0.1080"
"1.2000","0.1180","26.9623","0.1180"
"1.3000","0.1279","27.9646","0.1279"
"1.4000","0.1380","28.9648","0.1380"
"1.5000","0.1480","29.9723","0.1480"
"1.6000","0.1580","30.9732","0.1580"
"1.7000","0.1680","31.9286","0.1680"
"1.8000","0.1779","32.9167","0.1779"
"1.9000","0.1879","33.8938","0.1879"
"2.0000","0.1980","34.8939","0.1980"
"2.1000","0.2080","35.8840","0.2080"
"2.2000","0.2180","36.8221","0.2180"
"2.3000","0.2280","37.8018","0.2280"
"2.4000","0.2379","38.7176","0.2379"
"2.5000","0.2480","39.6655","0.2480"
"2.6000","0.2580","40.6158","0.2580"
"2.7000","0.2680","41.5505","0.2680"
"2.8000","0.2780","42.5023","0.2780"
"2.9000","0.2879","43.4856","0.2879"
"3.0000","0.2980","44.4575","0.2980"
"3.1000","0.3080","45.4615","0.3080"
"3.2000","0.3180","46.4835","0.3180"
"3.3000","0.3280","47.4985","0.3280"
"3.4000","0.3379","48.5021","0.3379"
"3.5000","0.3479","49.4520","0.3479"
"3.6000","0.3580","50.3365","0.3580"
"3.7000","0.3680","51.3241","0.3680"
"3.8000","0.3780","52.2098","0.3780"
"3.9000","0.3880","53.1651","0.3880"
"4.0000","0.3979","54.1242","0.3979"
"4.1000","0.4079","55.0260","0.4079"
"4.2000","0.4180","55.9329","0.4180"
"4.3000","0.4280","56.8918","0.4280"
"4.4000","0.4380","57.7975","0.4380"
"4.5000","0.4479","58.6982","0.4479"
"4.6000","0.4579","59.5957","0.4579"
"4.7000","0.4680","60.5541","0.4680"
"4.8000","0.4780","61.4557","0.4780"
